"user"	"date"	"oclc"	"name"	"state"	"ids"	"turn"	"status"	"distance"
"akamalij"	"2017-03-16"	"ZYU"	"NEW YORK UNIVERSITY"	"NY"	false	"14"	"Student"	"144"
"albertip"	"2015-06-10"	"OWU"	"OHIO WESLEYAN UNIVERSITY"	"OH"	false	"14"	"Student"	"0"
"albertip"	"2015-06-10"	"VLW"	"WASHINGTON & LEE UNIVERSITY"	"VA"	false	"6"	"Student"	"453"
"albertip"	"2015-05-19"	"NAM"	"SUNY at ALBANY"	"NY"	true	"5"	"Student"	"10"
"albertip"	"2015-06-09"	"YOM"	"SUNY at OSWEGO"	"NY"	true	"7"	"Student"	"139"
"alebiosb"	"2015-03-20"	"TWS"	"RHODES COLLEGE"	"TN"	false	"12"	"Student"	"0"
"alejosj"	"2015-10-28"	"FGM"	"FLORIDA ATLANTIC UNIVERSITY"	"FL"	false	"14"	"Student"	"1188"
"alext"	"2014-11-20"	"XJM"	"SCHENECTADY CNTY COMMUN COLLEGE"	"NY"	true	"1"	"Student"	"1"
"alext"	"2015-03-13"	"NAM"	"SUNY at ALBANY"	"NY"	true	"7"	"Student"	"10"
"alis2"	"2015-06-08"	"NAM"	"SUNY at ALBANY"	"NY"	true	"6"	"Student"	"10"
"almontee"	"2017-03-28"	"CKM"	"CLARK UNIVERSITY"	"MA"	true	"5"	"Student"	"114"
"andersc2"	"2015-01-13"	"WLU"	"WESLEYAN UNIVERSITY"	"CT"	false	"17"	"Faculty"	"109"
"andersoa"	"2017-01-23"	"NAM"	"SUNY at ALBANY"	"NY"	true	"7"	"Faculty"	"10"
"andersot"	"2016-03-16"	"NAM"	"SUNY at ALBANY"	"NY"	true	"6"	"Student"	"10"
"andersot"	"2016-06-08"	"ZBM"	"SUNY at ONEONTA"	"NY"	true	"3"	"Student"	"63"
"angristm"	"2016-09-14"	"SYB"	"SYRACUSE UNIVERSITY"	"NY"	true	"3"	"Faculty"	"113"
"angristm"	"2015-07-08"	"GZN"	"UNIVERSITY of WISCONSIN, MILWAUKEE"	"WI"	false	"7"	"Faculty"	"705"
"angristm"	"2015-09-03"	"HTM"	"WHITMAN COL, PENROSE MEM LIBRARY"	"WA"	false	"8"	"Faculty"	"2173"
"angristm"	"2017-07-17"	"COO"	"CORNELL UNIVERSITY"	"NY"	false	"10"	"Faculty"	"133"
"angristm"	"2017-06-13"	"BUF"	"SUNY at BUFFALO"	"NY"	true	"6"	"Faculty"	"248"
"angristm"	"2015-08-06"	"BNG"	"STATE UNIVERSITY of NEW YORK, BINGHAMTON LIBRARY"	"NY"	true	"6"	"Faculty"	"116"
"angristm"	"2017-09-19"	"ZCU"	"COLUMBIA UNIVERSITY"	"NY"	false	"6"	"Faculty"	"139"
"angristm"	"2017-07-17"	"MTH"	"MOUNT HOLYOKE COLLEGE"	"MA"	false	"6"	"Faculty"	"79"
"angristm"	"2014-07-11"	"CKM"	"CLARK UNIVERSITY"	"MA"	true	"6"	"Faculty"	"114"
"angristm"	"2017-06-30"	"MNN"	"CARLETON COLLEGE"	"MN"	false	"10"	"Faculty"	"966"
"angristm"	"2017-09-20"	"NAM"	"SUNY at ALBANY"	"NY"	true	"4"	"Faculty"	"10"
"angristm"	"2016-09-14"	"FDA"	"FLORIDA STATE UNIVERSITY"	"FL"	false	"6"	"Faculty"	"1028"
"angristm"	"2017-05-24"	"ICY"	"AUGUSTANA COLLEGE"	"IL"	false	"6"	"Faculty"	"0"
"angristm"	"2017-06-30"	"FDA"	"FLORIDA STATE UNIVERSITY"	"FL"	false	"0"	"Faculty"	"1028"
"angristm"	"2016-09-19"	"GZQ"	"MARQUETTE UNIV RAYNOR MEMORIAL LIBRARY"	"WI"	false	"7"	"Faculty"	"708"
"angristm"	"2016-09-19"	"YUS"	"YALE UNIV LIBRARY"	"CT"	false	"5"	"Faculty"	"116"
"angristm"	"2016-11-16"	"COO"	"CORNELL UNIVERSITY"	"NY"	false	"6"	"Faculty"	"133"
"angristm"	"2016-01-12"	"FUG"	"UNIVERSITY of FLORIDA"	"FL"	false	"21"	"Faculty"	"0"
"angristm"	"2015-09-11"	"OBE"	"OBERLIN COL LIBRARY"	"OH"	false	"12"	"Faculty"	"438"
"angristm"	"2016-08-04"	"DLM"	"UNIVERSITY of DELAWARE"	"DE"	false	"7"	"Faculty"	"237"
"angristm"	"2016-08-04"	"NAM"	"SUNY at ALBANY"	"NY"	true	"5"	"Faculty"	"10"
"arnoldm"	"2014-12-05"	"COV"	"UNIVERSITY of NORTHERN COLORADO"	"CO"	false	"14"	"NA"	"1419"
